rank,endurance_per_1000usd,max_flight_time_hover_min,airframe_id,airframe,battery,cells_s,all_up_mass_g,hover_throttle_pct,thermal,sbc,dvr,vtx,fpv_cam,gps,rx,video_format,ground_receiver,sbc_fit_status,deck_lxw_mm,sbc_dims_mm,battery_mount,physical_fit_note,drone_cost_usd,gcs_cost_usd,total_system_cost_usd,meets_budget_r4,meets_r6_30min,meets_r8_60min
22,25.81,37.5,AF3a,iFlight Chimera9 ECO,DOGCOM 6S1P 5000mAh Samsung 50S,6,1275.7,10.9,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1276.98,175.45,1452.43,True,True,False
23,25.73,38.3,AF3a,iFlight Chimera9 ECO,iFlight Fullsend 6S2P 6000mAh Samsung 30Q,6,1438.7,12.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1311.45,175.45,1486.9,True,True,False
24,25.64,39.4,AF3a,iFlight Chimera9 ECO,GNB 8000mAh 6S2P Samsung 21700 40T,6,1734.7,14.8,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1362.97,175.45,1538.42,True,True,False
25,25.01,37.8,AF4a,DarwinFPV X9,Tattu G-Tech 6S 12Ah LiPo 30C,6,2384.7,18.4,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1334.97,175.45,1510.42,True,True,False
26,24.87,38.1,AF4a,DarwinFPV X9,Pyrodrone Hyperjuice 6S2P 6000mAh Sony VTC6,6,1442.7,11.1,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1357.97,175.45,1533.42,True,True,False
27,24.71,38.9,AF3a,iFlight Chimera9 ECO,Pyrodrone Hyperjuice 6S2P 6000mAh Sony VTC6,6,1420.7,12.1,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1399.97,175.45,1575.42,True,True,False
28,24.65,38.3,AF3a,iFlight Chimera9 ECO,Tattu G-Tech 6S 12Ah LiPo 30C,6,2362.7,20.1,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1376.97,175.45,1552.42,True,True,False
29,24.43,36.1,AF4a,DarwinFPV X9,Upgrade Energy RED V3 6S1P 5Ah Molicel P50B,6,1284.7,9.9,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1303.98,175.45,1479.43,True,True,False
30,24.3,37.0,AF3a,iFlight Chimera9 ECO,Upgrade Energy RED V3 6S1P 5Ah Molicel P50B,6,1262.7,10.8,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1345.98,175.45,1521.43,True,True,False
31,23.83,34.7,AF4a,DarwinFPV X9,Lumenier NAV 5000mAh 6S 21700,6,1351.7,10.4,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1280.97,175.45,1456.42,True,True,False
32,23.67,35.5,AF3a,iFlight Chimera9 ECO,Lumenier NAV 5000mAh 6S 21700,6,1329.7,11.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1322.97,175.45,1498.42,True,True,False
33,23.6,36.6,AF4a,DarwinFPV X9,Lumenier NAV 6000mAh 6S 18650,6,1487.7,11.5,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1373.97,175.45,1549.42,True,True,False
34,23.44,37.3,AF3a,iFlight Chimera9 ECO,Lumenier NAV 6000mAh 6S 18650,6,1465.7,12.5,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1415.97,175.45,1591.42,True,True,False
